"Time (UTC)","Google (Search)","Telescope (# Unique Source IPs)","BGP (#Visible /24s)","Active Probing (#/24s Up)","Mozilla (City Count)"
"2025-12-31 13:00:00",71.81793606342517,21.004297403897098,99.95895468597332,99.6622340425532,70.73170731707317
"2025-12-31 14:00:00",69.50656095418653,20.43327250250191,99.9581538017972,99.66622340425532,70.73170731707317
"2025-12-31 15:00:00",71.1378937412572,19.520810031200327,99.96075667536962,99.73670212765957,60.97560975609756
"2025-12-31 16:00:00",72.33904024444462,19.862247601106727,99.96335954894204,99.71409574468085,60.97560975609756
"2025-12-31 17:00:00",75.08887370855587,18.443515629599105,99.95915490701735,99.45877659574468,60.97560975609756
"2025-12-31 18:00:00",78.41549034411157,17.70765879790428,99.95835402284123,99.40425531914893,58.536585365853654
"2025-12-31 19:00:00",85.23969684882877,17.160181315123328,99.95675225448896,99.0970744680851,53.65853658536586
"2025-12-31 20:00:00",83.4138443026984,16.748101489374225,99.95434960196057,98.75265957446808,36.58536585365854
"2025-12-31 21:00:00",70.59917586432682,16.371342791546475,99.95434960196057,98.6715425531915,31.70731707317073
"2025-12-31 22:00:00",51.96958553470431,16.094660622829224,99.95735291762105,98.75265957446808,21.951219512195124
"2025-12-31 23:00:00",36.09229307730137,16.383116500853593,99.95354871778444,97.64228723404256,17.073170731707318
"2026-01-01 00:00:00",23.958087143659835,15.788544180844175,99.95154650734412,96.95744680851064,14.634146341463413
"2026-01-01 01:00:00",17.708884344121646,16.077000058868546,99.95475004404865,96.73404255319149,12.195121951219512
"2026-01-01 02:00:00",16.800792041920783,16.165302878671923,99.95314827569636,96.63962765957446,14.634146341463413
"2026-01-01 03:00:00",21.881506883972154,17.478071466415493,99.95314827569636,96.6223404255319,19.51219512195122
"2026-01-01 04:00:00",30.470808952140132,22.069818096191206,99.9551504861367,96.72606382978724,41.46341463414634
"2026-01-01 05:00:00",45.9207934598454,26.349561429328304,99.95851419967646,97.23271276595744,65.85365853658537
"2026-01-01 06:00:00",64.88279997609945,24.866074056631543,99.95655203344494,97.84042553191489,68.29268292682927
"2026-01-01 07:00:00",79.7505892774178,24.15376464355095,99.95555092822475,98.44281914893615,73.17073170731707
"2026-01-01 08:00:00",87.60127149692275,21.681285689056338,99.95595137031283,98.98404255319149,70.73170731707317
"2026-01-01 09:00:00",87.81331350740724,21.398716665685523,99.95675225448896,99.29654255319149,65.85365853658537
"2026-01-01 10:00:00",85.74952450613844,18.973332548419382,99.9581538017972,99.24468085106382,60.97560975609756
"2026-01-01 11:00:00",82.2665005560895,19.161711897333255,99.95314827569636,99.1502659574468,58.536585365853654
"2026-01-01 12:00:00",76.61017315215564,19.809265909224703,99.95755313866509,99.30984042553192,58.536585365853654
"2026-01-01 13:00:00",72.49534262188479,21.310413845882145,99.95675225448896,98.72473404255318,60.97560975609756
"2026-01-01 14:00:00",70.9715441330939,20.874786601518807,99.95675225448896,98.4348404255319,63.41463414634146
"2026-01-01 15:00:00",73.07290939725743,20.680520397951373,99.9551504861367,99.01994680851062,63.41463414634146
"2026-01-01 16:00:00",75.94696766825389,21.080826514393358,99.95495026509266,99.25,56.09756097560976
